Make,MSG SKU,OEM,Part number,Car,Cables and fittings,Protocol
KIA/ HYUNDAI,EVAC0044,97701K4000 ,"CA600PPJAA02
CA600PPJAA05
CA600PPJAA06
CA600PPJAA15","HYUNDAI IONIQ 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025


KONA 2018 EV","MS-31009 (9H)
MS-30012 (12D)
MS41048-HP
MS41008-LP",CAN
KIA/ HYUNDAI,EVAC0071,,"CA600MQHAA
CA600MQHAA01","KIA SORENTO IV 202020, 2021, 2022, 2023, 2024, 2025","MS-31009 (9H)
MS-30012 (12D)
MS41048-HP
MS41008-LP",CAN
KIA/ HYUNDAI,"EVAC0045

  New!!!",97701CM000,,HYUNDAI KONA 1.6 Hybrid,"MS-31009 (9H)
MS-30012 (19D)
MS41048-HP
MS41008-LP",CAN
VAG,EVAC0012,"4G0260797A
7P0820803
7PP820803B
7P0820803G
7P0820803H
8R0260797B
8R0260797C
8R0260797D","042200-0380
042200-0381
042200-0382
042000-0383
042200-0480
042200-0481
042200-0482
042200-0900","Audi A6 A8 Q5 Hybrid 2,0, 
Porsche Cayenne, 
Panamera  V6 3,0 Touareg","MS-31006 (6H)
MS-30007 (7D)
MS41045-HP
MS41019-LP
  
Tools:
MS40006",CAN
VAG,EVAC0064,"5C0820803
5C0820803E
5C0820803F
5C0820803D
","042200-0582
042200-0581","VW Jetta Hybrid [2010, 2011, 2012, 2013, 2014, 2015]","MS-31007 (7H)
MS-30008 (8D)
MS41045-HP
MS41019-LP",LIN
VAG,EVAC0028,"12E820803B
 5QE816803F
 5QE816803
 12E820803E
 12E820803D
 12E820803C
 5QE816803C
 5QE816803F
 5QE820803
3GD816803
3GD816803A
3GD816803C
3GD816803D","VPEVAH-19D629-EC
 VPEVAH-19D629-BA
  
  
  
  
  
  
 VPEV9H-19D629-AD","AUDI A3 Sportback (8VA, 8VF) 1.4 TFSI e-tron 202014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025
VW GOLF VII (5G1, BQ1, BE1, BE2) 1.4 Hybrid 202014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025
VW PASSAT (3G2) 1.4 GTE Hybrid 202015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025
VW PASSAT Variant (3G5) 1.4 GTE Hybrid 202015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025
SKODA E-Citigo 2019/09-2021/09","MS-31007 (7H)
MS-30008 (8D)
MS41045-HP
MS41019-LP",LIN
VAG,EVAC0029,"4M0816797
4M0816797A
4M0816797B
4M0816797C
4G0816797F",,"Audi Q7 4m Hybrid E-Tron V6 3.0TDI CVZ 202016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025
E-Tron [2019, 2020, 2021]
PORSCHE CAYENNE 4.0 Turbo S E-Hybrid 202019, 2020, 2021, 2022, 2023, 2024, 2025","MS-31007 (7H)
MS-30008 (8D)
MS41045-HP
MS41019-LP
  
",LIN
VAG,"EVAC0096



   New!!","1EA820807C
1EA816797G","CA600MEBAD-04
CA6E1MEBAB-04","ID.3, ID.4","MS-310017 (17H)
MS-30017 (17D)
MS41045-HP
MS41019-LP",LIN
,,,,,,
BMW,EVAC0031,"64529364867
64526998210
64529347662
94529347662
64529364868
6452-6830620-01
6452-9364868-02
6452-9343806-01
64529364867-02
6452-2558051-01
6452-9347659-01
6452-9343808-1
64529343806
6452-9347662-01
64529320855
64529364872
6452-9496106
6452-9496107
6452-9496107-03
 
6452-9332199-01
6452-6830621-03
6452-6998209-01
6452-9496109-01","VPDKAH-19D629-PA
 PLCA600MCD1T06
 VPDKAH-19J499-BA
 
 PLCA600MCD1R10
 PLCA600MCD3J01","BMW 2 Active Tourer (F45) 14-, 
 BMW 3 (F30, F35, F80) 15-18, 
 BMW i3,
 BMW 5 (G30, F90) 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 BMW i8 (I12) 1.5 TwinPower Turbo
 BMW i8
 BMW i3
 BMW i8
 BMW 5 (G30)
 BMW 3 (G20)","MS-31005 (5H)
 MS-30005 (5D)
 MS41016-HP
 MS41015-LP
  
  
",LIN
